,oslaua,postcode,area,region,nursing_care,residential_care,home_care
1,E06000001,TS274ZN,Hartlepool,North East,387.9,466.6,114.1
2,E06000002,TS908WS,Middlesbrough,North East,434.7,482.3,95.9
3,E06000003,TS9 6RR,Redcar and Cleveland,North East,457.7,432,193.3
4,E06000004,TS8 0BX,Stockton on Tees,North East,470.9,493.8,144.4
5,E06000005,TS211XY,Darlington,North East,471,447.9,160
6,E06000006,WA881ZS,Halton,North West,490.4,461.2,185.7
7,E06000007,WA9 2LA,Warrington,North West,623.1,485.3,121.4
8,E06000008,PR6 8DZ,Blackburn with Darwen,North West,270.4,411.1,105.8
9,E06000009,FY8 5RR,Blackpool,North West,431.7,434.6,128.5
10,E06000010,HU9 9WZ,Kingston upon Hull,Yorkshire and The Humber,145.4,470.9,205
11,E06000011,YO951BT,East Riding of Yorkshire,Yorkshire and The Humber,562.6,454.2,159.6
12,E06000012,LN8 6BP,North East Lincolnshire,Yorkshire and The Humber,355.1,438.2,155.2
13,E06000013,LN7 6LQ,North Lincolnshire,Yorkshire and The Humber,111,481,276.4
14,E06000014,YO911XY,York,Yorkshire and The Humber,488,537.1,197.2
15,E06000015,DE993GG,Derby,East Midlands,435.7,509.4,232.7
16,E06000016,LE874PA,Leicester,East Midlands,491.9,551.7,114
17,E06000017,PE9 4XF,Rutland,East Midlands,468.4,486.1,296.1
18,E06000018,NG907GP,Nottingham,East Midlands,466.9,460.3,208.7
19,E06000019,WR6 6XZ,Herefordshire,West Midlands,601.2,626.7,199.9
20,E06000020,TF9 2DW,Telford and Wrekin,West Midlands,511.1,488,268.1
21,E06000021,ST9 9WU,Stoke on Trent,West Midlands,611.3,552,130
22,E06000022,BS418NW,Bath and North East Somerset,South West,543.8,726.2,176.5
23,E06000023,BS997ZZ,Bristol,South West,558.4,776.8,259.4
24,E06000024,BS808AJ,North Somerset,South West,546.7,463.7,150
25,E06000025,SN148YY,South Gloucestershire,South West,510.7,744.4,182.6
26,E06000026,PL958DL,Plymouth,South West,692.6,766.4,116.9
27,E06000027,TQ5 9ZX,Torbay,South West,458.3,422.8,162.1
28,E06000028,BH9 3ZX,Bournemouth,South West,539,494.8,220.4
29,E06000029,BH5 4JB,Poole,South West,644,631.8,253.2
30,E06000030,SN999XX,Swindon,South West,501.8,562.1,270.2
31,E06000031,PE991AS,Peterborough,East of England,520.8,449.1,164.5
32,E06000032,LU7 3SH,Luton,East of England,559.3,461,296.6
33,E06000033,SS999YY,Southend on Sea,East of England,583.8,544.5,144.4
34,E06000034,SS179ZT,Thurrock,East of England,741.2,444,221.6
35,E06000035,ME991AA,Medway,South East,442.2,555.9,134.3
36,E06000036,SL5 9LZ,Bracknell Forest,South East,615.7,590.3,230.5
37,E06000037,SW1E5SE,West Berkshire,South East,650.4,685.2,230
38,E06000038,RG7 8YW,Reading,South East,720,777.4,196.9
39,E06000039,SL951UX,Slough,South East,952.2,NA,332.4
40,E06000040,TW196WT,Windsor and Maidenhead,South East,571.8,525.3,195.7
41,E06000041,RG9 3ZQ,Wokingham,South East,788.5,713.2,325.5
42,E06000042,NN9 7NP,Milton Keynes,South East,771.1,487.2,231.9
43,E06000043,BN884YR,Brighton and Hove,South East,557.6,628.9,262
44,E06000044,PO7 5BW,Portsmouth,South East,655.5,567.4,110
